h,from,to,kind
0,-,园岭,enter
0,-,新安,enter
0,-,布吉,enter
0,华强北,-,leave
0,民治,-,leave
0,南湖,-,leave
0,沙头,沙头,stay
0,西乡,西乡,stay
0,东门,东门,stay
0,桂园,桂园,stay
0,福田,福田,stay
1,-,南湖,enter
1,园岭,-,leave
1,沙头,沙头,stay
1,新安,新安,stay
1,布吉,布吉,stay
1,西乡,西乡,stay
1,东门,东门,stay
1,桂园,桂园,stay
1,福田,福田,stay
2,-,华强北,enter
2,-,南山,enter
2,西乡,-,leave
2,布吉,-,leave
2,沙头,沙头,stay
2,新安,新安,stay
2,南湖,南湖,stay
2,东门,东门,stay
2,桂园,桂园,stay
2,福田,福田,stay
3,-,航城,enter
3,-,布吉,enter
3,新安,-,leave
3,南山,-,leave
3,沙头,沙头,stay
3,华强北,华强北,stay
3,南湖,南湖,stay
3,东门,东门,stay
3,桂园,桂园,stay
3,福田,福田,stay
4,-,园岭,enter
4,-,新安,enter
4,-,南山,enter
4,华强北,-,leave
4,航城,-,leave
4,布吉,-,leave
4,沙头,沙头,stay
4,南湖,南湖,stay
4,东门,东门,stay
4,桂园,桂园,stay
4,福田,福田,stay
5,-,西乡,enter
5,-,香蜜湖,enter
5,-,南头,enter
5,园岭,-,leave
5,新安,-,leave
5,南山,-,leave
5,沙头,沙头,stay
5,南湖,南湖,stay
5,东门,东门,stay
5,桂园,桂园,stay
5,福田,福田,stay
6,-,南湾,enter
6,-,布吉,enter
6,-,沙河,enter
6,-,梅林,enter
6,桂园,-,leave
6,香蜜湖,-,leave
6,东门,-,leave
6,南头,-,leave
6,西乡,西乡,stay
6,沙头,沙头,stay
6,福田,福田,stay
6,南湖,南湖,stay
7,-,翠竹,enter
7,-,桂园,enter
7,-,民治,enter
7,布吉,-,leave
7,沙河,-,leave
7,南湾,-,leave
7,沙头,沙头,stay
7,南湖,南湖,stay
7,西乡,西乡,stay
7,梅林,梅林,stay
7,福田,福田,stay
8,-,莲花,enter
8,-,南山,enter
8,-,东门,enter
8,-,招商,enter
8,翠竹,-,leave
8,桂园,-,leave
8,民治,-,leave
8,梅林,-,leave
8,西乡,西乡,stay
8,沙头,沙头,stay
8,福田,福田,stay
8,南湖,南湖,stay
9,-,民治,enter
9,-,新安,enter
9,-,梅林,enter
9,西乡,-,leave
9,南湖,-,leave
9,招商,-,leave
9,莲花,莲花,stay
9,沙头,沙头,stay
9,东门,东门,stay
9,福田,福田,stay
9,南山,南山,stay
10,-,桂园,enter
10,-,华强北,enter
10,-,南头,enter
10,新安,-,leave
10,东门,-,leave
10,南山,-,leave
10,莲花,莲花,stay
10,沙头,沙头,stay
10,民治,民治,stay
10,梅林,梅林,stay
10,福田,福田,stay
11,-,香蜜湖,enter
11,-,新安,enter
11,-,布吉,enter
11,-,东门,enter
11,桂园,-,leave
11,华强北,-,leave
11,民治,-,leave
11,南头,-,leave
11,莲花,莲花,stay
11,沙头,沙头,stay
11,福田,福田,stay
11,梅林,梅林,stay
12,-,西乡,enter
12,-,南湖,enter
12,-,粤海,enter
12,-,沙河,enter
12,香蜜湖,-,leave
12,东门,-,leave
12,布吉,-,leave
12,梅林,-,leave
12,莲花,莲花,stay
12,沙头,沙头,stay
12,新安,新安,stay
12,福田,福田,stay
13,-,香蜜湖,enter
13,-,梅林,enter
13,新安,-,leave
13,沙河,-,leave
13,莲花,莲花,stay
13,沙头,沙头,stay
13,粤海,粤海,stay
13,南湖,南湖,stay
13,西乡,西乡,stay
13,福田,福田,stay
14,-,黄贝,enter
14,-,桂园,enter
14,-,招商,enter
14,-,南头,enter
14,西乡,-,leave
14,香蜜湖,-,leave
14,南湖,-,leave
14,粤海,-,leave
14,莲花,莲花,stay
14,沙头,沙头,stay
14,福田,福田,stay
14,梅林,梅林,stay
15,-,香蜜湖,enter
15,-,笋岗,enter
15,-,东门,enter
15,-,沙河,enter
15,黄贝,-,leave
15,桂园,-,leave
15,招商,-,leave
15,梅林,-,leave
15,莲花,莲花,stay
15,沙头,沙头,stay
15,福田,福田,stay
15,南头,南头,stay
16,-,桂园,enter
16,-,南湖,enter
16,-,布吉,enter
16,香蜜湖,-,leave
16,沙河,-,leave
16,南头,-,leave
16,莲花,莲花,stay
16,沙头,沙头,stay
16,笋岗,笋岗,stay
16,东门,东门,stay
16,福田,福田,stay
17,-,西乡,enter
17,-,华强北,enter
17,-,民治,enter
17,-,南头,enter
17,桂园,-,leave
17,东门,-,leave
17,笋岗,-,leave
17,布吉,-,leave
17,莲花,莲花,stay
17,沙头,沙头,stay
17,福田,福田,stay
17,南湖,南湖,stay
18,-,桂园,enter
18,-,香蜜湖,enter
18,-,东门,enter
18,华强北,-,leave
18,民治,-,leave
18,南头,-,leave
18,莲花,莲花,stay
18,沙头,沙头,stay
18,南湖,南湖,stay
18,西乡,西乡,stay
18,福田,福田,stay
19,-,华强北,enter
19,-,新安,enter
19,西乡,-,leave
19,莲花,-,leave
19,沙头,沙头,stay
19,南湖,南湖,stay
19,东门,东门,stay
19,桂园,桂园,stay
19,福田,福田,stay
19,香蜜湖,香蜜湖,stay
20,-,莲花,enter
20,-,民治,enter
20,-,粤海,enter
20,桂园,-,leave
20,新安,-,leave
20,南湖,-,leave
20,沙头,沙头,stay
20,华强北,华强北,stay
20,东门,东门,stay
20,福田,福田,stay
20,香蜜湖,香蜜湖,stay
21,-,桂园,enter
21,-,南湖,enter
21,莲花,-,leave
21,香蜜湖,-,leave
21,华强北,华强北,stay
21,民治,民治,stay
21,沙头,沙头,stay
21,粤海,粤海,stay
21,东门,东门,stay
21,福田,福田,stay
22,-,香蜜湖,enter
22,-,布吉,enter
22,华强北,-,leave
22,粤海,-,leave
22,沙头,沙头,stay
22,民治,民治,stay
22,南湖,南湖,stay
22,东门,东门,stay
22,桂园,桂园,stay
22,福田,福田,stay
