DISTRICT,NAME,poi_count,pickup_total,tidal_cluster,tidal_type
罗湖区,东湖,1,46,2,早峰型(工作地/CBD)
福田区,香蜜湖,2,280,1,深夜型(口岸/酒吧)
罗湖区,南湖,3,386,1,深夜型(口岸/酒吧)
罗湖区,黄贝,0,191,0,深夜型(口岸/酒吧)
罗湖区,东晓,2,97,0,深夜型(口岸/酒吧)
罗湖区,莲塘,2,92,3,晚峰型(商圈/夜娱)
福田区,福田,14,1050,0,深夜型(口岸/酒吧)
南山区,西丽,3,135,0,深夜型(口岸/酒吧)
福田区,沙头,5,599,1,深夜型(口岸/酒吧)
南山区,粤海,15,267,1,深夜型(口岸/酒吧)
南山区,南头,5,235,1,深夜型(口岸/酒吧)
南山区,招商,4,152,2,早峰型(工作地/CBD)
南山区,蛇口,0,33,2,早峰型(工作地/CBD)
罗湖区,桂园,9,370,0,深夜型(口岸/酒吧)
南山区,南山,2,217,0,深夜型(口岸/酒吧)
罗湖区,清水河,0,151,1,深夜型(口岸/酒吧)
福田区,莲花,1,345,2,早峰型(工作地/CBD)
福田区,梅林,4,261,1,深夜型(口岸/酒吧)
福田区,华富,1,180,1,深夜型(口岸/酒吧)
福田区,南园,1,48,0,深夜型(口岸/酒吧)
福田区,华强北,6,288,0,深夜型(口岸/酒吧)
福田区,园岭,0,213,0,深夜型(口岸/酒吧)
罗湖区,翠竹,4,186,1,深夜型(口岸/酒吧)
罗湖区,东门,6,450,0,深夜型(口岸/酒吧)
福田区,福保,1,130,1,深夜型(口岸/酒吧)
南山区,沙河,5,257,1,深夜型(口岸/酒吧)
南山区,桃源,4,87,1,深夜型(口岸/酒吧)
罗湖区,笋岗,2,188,1,深夜型(口岸/酒吧)
